"","geo","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2011","2010"
"1","AT",8408121,8451860,8507786,8584926,8700471,8772865,8822267,8858775,8901064,8932664,8978929,9104772,8408.1,8404.3
"2","BE",11075889,11137974,11180840,11237274,11311117,11351727,11398589,11455519,11522440,11554767,11617623,11754004,11094.9,10918.4
"3","BG",7327224,7284552,7245677,7202198,7153784,7101859,7050034,7000039,6951482,6916548,6838937,6447710,7327.2,7504.9
"4","CH",7954662,8039060,8139631,8237666,8327126,8419550,8484130,8544527,8606033,8670300,8738791,8812728,7954.7,7866.5
"5","CY",862011,865878,858000,847008,848319,854802,864236,875899,888005,896007,904705,920701,862,804.4
"6","CZ",10505445,10516125,10512419,10538275,10553843,10578820,10610055,10649800,10693939,10494836,10516707,10827529,10505.4,10532.8
"7","DE",80327900,80523746,80767463,81197537,82175684,82521653,82792351,83019213,83166711,83155031,83237124,84358845,80327.9,81751.6
"8","DK",5580516,5602628,5627235,5659715,5707251,5748769,5781190,5806081,5822763,5840045,5873420,5932654,5580.5,5560.6
"9","EE",1325217,1320174,1315819,1314870,1315944,1315635,1319133,1324820,1328976,1330068,1331796,1365884,1340.2,1333.8
"10","EL",11086406,11003615,10926807,10858018,10783748,10768193,10741165,10724599,10718565,10678632,10459782,10394055,11123,11062.5
"11","ES",46818219,46727890,46512199,46449565,46440099,46528024,46658447,46937060,47332614,47398695,47432893,48059777,46818.2,46152.9
"12","FI",5401267,5426674,5451270,5471753,5487308,5503297,5513130,5517919,5525292,5533793,5548241,5563970,5401.3,5375.3
"13","FR",65276983,65600350,66165980,66458153,66638391,66809816,67026224,67290471,67485531,67656682,67871925,68070697,65327.7,65075.3
"14","HR",4275984,4262140,4246809,4225316,4190669,4154213,4105493,4076246,4058165,4036355,3862305,3850894,4276,4262.1
"15","HU",9931925,9908798,9877365,9855571,9830485,9797561,9778371,9772756,9769526,9730772,9689010,9597085,9931.9,9986
"16","IE",4589287,4609779,4637852,4677627,4726286,4784383,4830392,4904240,4964440,5006324,5060004,5194336,4582.7,11329.6
"17","IS",319575,321857,325671,329100,332529,338349,348450,356991,364134,368792,376248,387758,319.6,318.5
"18","IT",59394207,59685227,60782668,60795612,60665551,60589445,60483973,59816673,59641488,59236213,59030133,58850717,59394.2,60626.4
"19","LI",36475,36838,37129,37366,37622,37810,38114,38378,38747,39055,39308,39679,36.5,36.2
"20","LT",3003641,2971905,2943472,2921262,2888558,2847904,2808901,2794184,2794090,2795680,2805998,2857279,2229.6,3244.6
"21","LU",524853,537039,549680,562958,576249,590667,602005,613894,626108,634730,645397,660809,524.9,511.8
"22","LV",2044813,2023825,2001468,1986096,1968957,1950116,1934379,1919968,1907675,1893223,1875757,1883008,2044.8,2229.6
"23","ME",620308,620893,621521,622099,622218,622387,622359,622182,621873,620739,617683,616695,621.2,632.9
"24","MK",2059794,2062294,2065769,2069172,2071278,2073702,2075301,2077132,2076255,2068808,1837114,1829954,620.1,619.4
"25","MT",417546,422509,429424,439691,450415,460297,475701,493559,514564,516100,520971,542051,417.5,417.6
"26","NL",16730348,16779575,16829289,16900726,16979120,17081507,17181084,17282163,17407585,17475415,17590672,17811291,16730.3,16655
"27","NO",4985870,5051275,5107970,5166493,5210721,5258317,5295619,5328212,5367580,5391369,5425270,5488984,4985.9,4920.3
"28","PL",38063792,38062535,38017856,38005614,37967209,37972964,37976687,37972812,37958138,37840001,37654247,36753736,38538.4,38200
"29","PT",10542398,10487289,10427301,10374822,10341330,10309573,10291027,10276617,10295909,10298252,10352042,10467366,10542.4,10637
"30","RO",20095996,20020074,19947311,19870647,19760585,19643949,19533481,19414458,19328838,19201662,19042455,19051562,20096,21413.8
"31","RS",7216649,7181505,7146759,7114393,7076372,7040272,7001444,6963764,6926705,6871547,6797105,6664449,7216.6,7291
"32","SE",9482855,9555893,9644864,9747355,9851017,9995153,10120242,10230185,10327589,10379295,10452326,10521556,9482.9,9415.6
"33","SI",2055496,2058821,2061085,2062874,2064188,2065895,2066880,2080908,2095861,2108977,2107180,2116792,2055.5,2050.2
"34","SK",5404322,5410836,5415949,5421349,5426252,5435343,5443120,5450421,5457873,5459781,5434712,5428792,5404.3,5435.3
"35","UK",63495088,63905342,64351203,64853393,65379044,65844142,66273576,66647112,67025542,NA,NA,NA,63495.4,62435.7
